OrderID,"Actual Product Cost","Expert Earning"
100000279,€571.00,456.8
100000479,"€78,050.00",62440
100000498,€23.00,18.4
100000499,€40.00,32
100000501,€35.00,28
100000503,€35.00,22.68
100000596,€12.00,7.776
100000595,€12.00,7.776
100000594,€12.00,7.776
100000593,€12.00,7.776
100000592,€12.00,7.776
100000591,€12.00,7.776
100000590,€12.00,7.776
100000589,€12.00,7.776
100000588,€12.00,7.776
100000587,€12.00,7.776
100000586,€12.00,7.776
100000585,€12.00,7.776
100000584,€12.00,7.776
100000583,€12.00,7.776
100000582,€12.00,7.776
100000581,€12.00,7.776
100000580,€12.00,7.776
100000579,€12.00,7.776
100000617,€23.00,14.904
